ENABLE,PDCAPREFIX,TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,ENVIRONMENT,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,PARAMETER,COF
1,2087,SOC,TEST-SC7-Pe-0x4F,,"sc run 7 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2088,SOC,TEST-SC13-Pe-0x4F,,"sc run 13 10 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2089,SOC,TEST-SC19-Pe-0x4F,,"sc run 19 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2090,SOC,TEST-SC499-Pe-0x4F,,"sc run 499 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2091,SOC,TEST-SC6-Pe-0x2F,,"sc run 6 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2092,SOC,TEST-SC7-Pe-0x2F,,"sc run 7 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2093,SOC,TEST-SC13-Pe-0x2F,,"sc run 13 10 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2094,SOC,TEST-SC19-Pe-0x2F,,"sc run 19 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2095,SOC,TEST-SC499-Pe-0x2F,,"sc run 499 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2096,SOC,ECHO-1CORE-SECTION-Pd,,"echo >>>> 2P <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2097,SOC,SET-PERF-0xd502255-Pd,,"pmgr mode 0xd502255",10,Dut,sendCommand,0,,"PASS pmgr mode 0xd502255",PERTOS,xVT,"A -> FA",,,,1
1,2098,SOC,TEST-SC7-Pd-0xCF,,"sc run 6 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,,1
1,2099,SOC,TEST-SC13-Pd-0xCF,,"sc run 7 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,,1
1,2100,SOC,TEST-SC19-Pd-0xCF,,"sc run 13 10 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0x30",PERTOS,xVT,"A -> FA",,,,1
1,2101,SOC,TEST-SC27-Pd-0xCF,,"sc run 19 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,,1
1,2102,SOC,TEST-SC499-Pd-0xCF,,"sc run 499 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,,1
1,2103,SOC,TEST-SC6-Pd-0x3F,,"sc run 6 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,,1
1,2104,SOC,TEST-SC7-Pd-0x3F,,"sc run 7 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,,1
1,2105,SOC,TEST-SC13-Pd-0x3F,,"sc run 13 10 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,,1
1,2106,SOC,TEST-SC19-Pd-0x3F,,"sc run 19 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,,1
1,2107,SOC,TEST-SC499-Pd-0x3F,,"sc run 499 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,,1
1,2108,SOC,TEST-SC6-Pd-0x6F,,"sc run 6 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,,1
1,2109,SOC,TEST-SC7-Pd-0x6F,,"sc run 7 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,,1
1,2110,SOC,TEST-SC13-Pd-0x6F,,"sc run 13 10 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0x90",PERTOS,xVT,"A -> FA",,,,1
1,2111,SOC,TEST-SC19-Pd-0x6F,,"sc run 19 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,,1
1,2112,SOC,TEST-SC499-Pd-0x6F,,"sc run 499 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,,1
1,2113,SOC,TEST-SC6-Pd-0x9F,,"sc run 6 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 6 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,,1
1,2114,SOC,TEST-SC7-Pd-0x9F,,"sc run 7 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 7 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,,1
1,2115,SOC,TEST-SC13-Pd-0x9F,,"sc run 13 10 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 13 10 -coredown 0x60",PERTOS,xVT,"A -> FA",,,,1
1,2116,SOC,TEST-SC19-Pd-0x9F,,"sc run 19 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 19 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,,1
1,2117,SOC,TEST-SC499-Pd-0x9F,,"sc run 499 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 499 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,,1
1,2118,SOC,ECHO-4CORE-SECTION-Pc,,"echo >>>> 4P, 1P+ANE, 1P+AMX <<<<",5,Rush,echo,0,,"PASS echo",PERTOS,xVT,AAB,,,,1
1,2119,SOC,SET-PERF-0xc502255-Pc-SC6,,"pmgr mode 0xc502255",10,Dut,sendCommand,0,,"PASS pmgr mode 0xc502255",PERTOS,xVT,"A -> FA",,,,1
1,2120,SOC,TEST-SC6-Pc,,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,,1
1,2121,SOC,TEST-SC7-Pc,,"sc run 7 5",100,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,,1
1,2122,SOC,TEST-SC13-Pc,,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,,1
1,2123,SOC,TEST-SC19-Pc,,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,,1
1,2124,SOC,TEST-SC27-Pc,,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,,1
1,2125,SOC,TEST-SC499-Pc,,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,,1
1,2126,SOC,TEST-SC172-Pc-0x1F,,"sc run 172 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2127,SOC,TEST-SC182-Pc-0x1F,,"sc run 182 5 -coredown 0xE0",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0xE0",PERTOS,xVT,"A -> FA",,,,1
1,2128,SOC,TEST-SC172-Pc-0x2F,,"sc run 172 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2129,SOC,TEST-SC182-Pc-0x2F,,"sc run 182 5 -coredown 0xD0",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0xD0",PERTOS,xVT,"A -> FA",,,,1
1,2130,SOC,TEST-SC172-Pc-0x4F,,"sc run 172 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
1,2131,SOC,TEST-SC182-Pc-0x4F,,"sc run 182 5 -coredown 0xB0",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0xB0",PERTOS,xVT,"A -> FA",,,,1
