group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,limitPassPattern,limitTruePattern,HexValue,Attribute
xVT,LPLL_AON,Mhz,,,,,,,0,0
xVT,LPLL_FAST,Mhz,,,,,,,0,0
xVT,VID0,Mhz,,,,,,,0,0
xVT,VID0_2X,Mhz,,,,,,,0,0
xVT,DRAM VERSION,,,,,,,,0,1
xVT,DRAM REV1,,,,,,,,0,1
xVT,ibat_min,mA,,,,,,,0,0
xVT,ibat_max,mA,,,,,,,0,0
xVT,ibat_avg,mA,,,,,,,0,0
xVT,ibat_cnt,,,,,,,,0,0
xVT,ivdd_min,mA,,,,,,,0,0
xVT,ivdd_max,mA,,,,,,,0,0
xVT,ivdd_avg,mA,,,,,,,0,0
xVT,ivdd_cnt,,,,,,,,0,0
xVT,iusb_min,mA,,,,,,,0,0
xVT,iusb_max,mA,,,,,,,0,0
xVT,iusb_avg,mA,,,,,,,0,0
xVT,iusb_cnt,,,,,,,,0,0
xVT,Result,,,,,,,PASS,0,0
xVT,output time,ms,,,,,,,0,0
xVT,FIRST_SOCHOT_TIME,s,,,,,,,0,0
xVT,CPU0_Alrm.cnt,,,,,,,,0,0
xVT,CPU1_Alrm.cnt,,,,,,,,0,0
xVT,CPU2_Alrm.cnt,,,,,,,,0,0
xVT,exit0.cnt,,,,,,,,0,0
xVT,exit1.cnt,,,,,,,,0,0
xVT,fs0.cnt,,,,,,,,0,0
xVT,fs1.cnt,,,,,,,,0,0
xVT,SOCfs0.cnt,,,,,,,,0,0
xVT,SOCfs1.cnt,,,,,,,,0,0
xVT,total.cnt,,,,,,,,0,0
xVT,banks,,,,,,,,1,0
xVT,ca_cal,,,,,,,,0,0
xVT,cal panic,,,,,,,T,0,0
xVT,ch width,,,,,,,,0,0
xVT,channels,,,,,,,,0,0
xVT,density,,,,,,,,0,0
xVT,dyn cal en,,,,,,,T,0,0
xVT,initd,,,,,,,,0,0
xVT,MBytes,,,,,,,,1,0
xVT,odts en,,,,,,,T,0,0
xVT,ranks,,,,,,,,0,0
xVT,rd_cal,,,,,,,,0,0
xVT,refcnt en,,,,,,,T,0,0
xVT,rd/wr cal en,,,,,,,T,0,0
xVT,rev1,,,,,,,,0,0
xVT,rev2,,,,,,,,0,0
xVT,type,,,,,,,,0,0
xVT,vendor,,,,,,,,0,0
xVT,vref cal en,,,,,,,T,0,0
xVT,width,,,,,,,,0,0
xVT,wr_cal,,,,,,,,0,0
xVT,CPU IDS,uA,,,,,,,0,0
xVT,CPU SRAM IDS,uA,,,,,,,0,0
xVT,Device Rev,,,,,,,,1,0
xVT,FIXED IDS,uA,,,,,,,0,0
xVT,Fuse assignment,,,,,,,,1,0
xVT,Fuse Rev,,,,,,,,1,0
xVT,GPU IDS,uA,,,,,,,0,0
xVT,GPU SRAM IDS,uA,,,,,,,0,0
xVT,LOW IDS,uA,,,,,,,0,0
xVT,amcc_cfg_sel,MHz,,,,,,,0,0
xVT,CPU_CLK,MHz,,,,,,,0,0
xVT,FAST_AF_CLK,MHz,,,,,,,0,0
xVT,GFX_CLK,MHz,,,,,,,0,0
xVT,MCU_CLK_FREQ,MHz,,,,,,,0,0
xVT,mcu_ref_cfg_sel,MHz,,,,,,,0,0
xVT,mcu_ref_src_sel,MHz,,,,,,,0,0
xVT,PCIE PLL,MHz,,,,,,,0,0
xVT,PLL 0,MHz,,,,,,,0,0
xVT,PLL 1,MHz,,,,,,,0,0
xVT,PLL 2,MHz,,,,,,,0,0
xVT,PLL 3,MHz,,,,,,,0,0
xVT,PLL 4,MHz,,,,,,,0,0
xVT,SLOW_AF_CLK,MHz,,,,,,,0,0
xVT,Vbuck5,uV,,,,,,,0,0
xVT,Vbuck9,uV,,,,,,,0,0
xVT,Vcore,uV,,,,,,,0,0
xVT,CPM,oC,,,,,,,0,0
xVT,DDR0,oC,,,,,,,0,0
xVT,DDR1,oC,,,,,,,0,0
xVT,DDR2,oC,,,,,,,0,0
xVT,DDR3,oC,,,,,,,0,0
xVT,DDR4,oC,,,,,,,0,0
xVT,DDR5,oC,,,,,,,0,0
xVT,DDR6,oC,,,,,,,0,0
xVT,DDR7,oC,,,,,,,0,0
