ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,2206,TEST-SC19-Pb,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,1
1,2207,TEST-SC27-Pb,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,1
1,2208,TEST-SC499-Pb,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,1
1,2209,SET-BBQ-Pb-0xEF,"bbq config 0xEF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xEF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2210,TEST-SC172-Pb-0xEF,"sc run 172 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2211,TEST-SC182-Pb-0xEF,"sc run 182 5 -coredown 0x10",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x10",PERTOS,xVT,"A -> FA",,,1
1,2212,SET-BBQ-Pb-0xDF,"bbq config 0xDF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xDF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2213,TEST-SC172-Pb-0xDF,"sc run 172 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2214,TEST-SC182-Pb-0xDF,"sc run 182 5 -coredown 0x20",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x20",PERTOS,xVT,"A -> FA",,,1
1,2215,SET-BBQ-Pb-0xBF,"bbq config 0xBF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xBF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2216,TEST-SC172-Pb-0xBF,"sc run 172 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2217,TEST-SC182-Pb-0xBF,"sc run 182 5 -coredown 0x40",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x40",PERTOS,xVT,"A -> FA",,,1
1,2218,SET-BBQ-Pb-0x7F,"bbq config 0x7F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x7F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2219,TEST-SC172-Pb-0x7F,"sc run 172 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 172 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2220,TEST-SC182-Pb-0x7F,"sc run 182 5 -coredown 0x80",100,Dut,sendCommand,0,,"PASS sc run 182 5 -coredown 0x80",PERTOS,xVT,"A -> FA",,,1
1,2221,SET-BBQ-Pb-0xCF,"bbq config 0xCF 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0xCF 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2222,TEST-SC173-Pb-0xCF,"sc run 173 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,1
1,2223,TEST-SC184-Pb-0xCF,"sc run 184 5 -coredown 0x30",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x30",PERTOS,xVT,"A -> FA",,,1
1,2224,SET-BBQ-Pb-0x9F,"bbq config 0x9F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x9F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2225,TEST-SC173-Pb-0x9F,"sc run 173 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,1
1,2226,TEST-SC184-Pb-0x9F,"sc run 184 5 -coredown 0x60",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x60",PERTOS,xVT,"A -> FA",,,1
1,2227,SET-BBQ-Pb-0x6F,"bbq config 0x6F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x6F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2228,TEST-SC173-Pb-0x6F,"sc run 173 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,1
1,2229,TEST-SC184-Pb-0x6F,"sc run 184 5 -coredown 0x90",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0x90",PERTOS,xVT,"A -> FA",,,1
1,2230,SET-BBQ-Pb-0x3F,"bbq config 0x3F 500 150 5 100 24 6 E B",5,Dut,sendCommand,0,,"PASS bbq config 0x3F 500 150 5 100 24 6 E B",PERTOS,xVT,AAB,,,1
1,2231,TEST-SC173-Pb-0x3F,"sc run 173 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 173 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,1
1,2232,TEST-SC184-Pb-0x3F,"sc run 184 5 -coredown 0xC0",100,Dut,sendCommand,0,,"PASS sc run 184 5 -coredown 0xC0",PERTOS,xVT,"A -> FA",,,1
1,2233,ECHO-4CORE-SECTION-Pc,"echo >>>> 4P, 1P+ANE, 1P+AMX <<<<",5,Rush,echo,0,,PASS,PERTOS,xVT,AAB,,,1
1,2234,SET-PERF-0xc502145-Pc,"pmgr mode 0xc502145",5,Dut,sendCommand,0,,"PASS pmgr mode 0xc502145",PERTOS,xVT,AAB,,,1
1,2235,TEST-SC6-Pc,"sc run 6 5",100,Dut,sendCommand,0,,"PASS sc run 6 5",PERTOS,xVT,"A -> FA",,,1
1,2236,TEST-SC7-Pc,"sc run 7 5",100,Dut,sendCommand,0,,"PASS sc run 7 5",PERTOS,xVT,"A -> FA",,,1
1,2237,TEST-SC13-Pc,"sc run 13 10",100,Dut,sendCommand,0,,"PASS sc run 13 10",PERTOS,xVT,"A -> FA",,,1
1,2238,TEST-SC19-Pc,"sc run 19 5",100,Dut,sendCommand,0,,"PASS sc run 19 5",PERTOS,xVT,"A -> FA",,,1
1,2239,TEST-SC27-Pc,"sc run 27 5",100,Dut,sendCommand,0,,"PASS sc run 27 5",PERTOS,xVT,"A -> FA",,,1
1,2240,TEST-SC499-Pc,"sc run 499 5",100,Dut,sendCommand,0,,"PASS sc run 499 5",PERTOS,xVT,"A -> FA",,,1
