ENABLE,PDCAPREFIX,PDCANAME,DUTCOMMAND,TIMEOUT,PLUGIN,ATLASCOMMAND,MDPARSER,REGEX,EXPECT,PARAMETER,LIMITGROUP,RETESTPOLICY,HANGTIMEOUT,BGCT,COF
1,3073,DUMP-PGT-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3074,DUMP-PGT-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3075,DUMP-PGT-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3076,DUMP-PGT-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3077,SET-PGT-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3078,DUMP-PGT-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3079,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3080,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3081,DUMP-PGT-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3082,SET-PGT-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3083,DUMP-PGT-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3084,RBM-PGT,rbm-pgt-test -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3085,DUMP-PGT-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3086,DUMP-PGT-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3087,DUMP-PGT-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3088,DUMP-PGT-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3089,DUMP-PGT-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3090,DUMP-PGT-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3091,DUMP-PGT-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3092,DUMP-PGT-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3093,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3094,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3095,DUMP-DVFM-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3096,DUMP-DVFM-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3097,DUMP-DVFM-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3098,DUMP-DVFM-PDVFM,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3099,DUMP-DVFM-PDVFM,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3100,SET-DVFM-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3101,DUMP-DVFM-PDVFM,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3102,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3103,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3104,DUMP-DVFM-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3105,SET-DVFM-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3106,DUMP-DVFM-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3107,RBM-DVFM,rbm-dvfm-soc-dcs -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3108,DUMP-DVFM-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3109,DUMP-DVFM-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3110,DUMP-DVFM-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3111,DUMP-DVFM-TEMP-EVENT,.tel,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3112,DUMP-DVFM-LOG,.rbmlog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3113,DUMP-DVFM-APSC-LOG,.apsc_log,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3114,DUMP-DVFM-MTQ,.mtq,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3115,DUMP-DVFM-RBMS,.rbm_s,5,runTest,runRBM,0,,0,RBM,xVT,A -> FA,,,1
1,3116,Reset MLB,FIXTURESIGNAL_BOOT_RBM,60,Rush,restore,0,,-> <-,RBM,xVT,AAB,,,1
1,3117,FIXTURESIGNAL_SETFANSPEED_0,FIXTURESIGNAL_SETFANSPEED_0,60,Rush,setfanspeed,0,,,,xVT,AAB,,,1
1,3118,DUMP-NOM-UC-PCORE-STATE,phigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3119,DUMP-NOM-UC-ECORE-STATE,ehigh-state . cr,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3120,DUMP-NOM-UC-TEMP,.temps,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3121,DUMP-NOM-UC-PNOM-UC,calc-pdvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3122,DUMP-NOM-UC-PNOM-UC,calc-edvfms,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3123,SET-NOM-UC-PA2DDR,true to dumppa2ddr?,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3124,DUMP-NOM-UC-PNOM-UC,show dvfm,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3125,DUMP-NOM-SOCPERF,show socperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3126,DUMP-NOM-DCSPERF,show dcsperfstate,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3127,DUMP-NOM-UC-PMU,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3128,SET-NOM-UC-VDDR1V1,set pmu -vdd2=1060,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3129,DUMP-NOM-UC-PMU-2,show pmu,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3130,RBM-NOM-UC,rbm-nom-uc -tout 300,400,Dut,sendCommand,0,,TEST_PASSED,RBM,xVT,A -> FA,60,x,1
1,3131,DUMP-NOM-UC-TEMPLOG,.templog,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3132,DUMP-NOM-UC-L2-DECODE,.rfl,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
1,3133,DUMP-NOM-UC-MAX-TEMP,.sns-maxtemp,5,Dut,sendCommand,1,,0,RBM,xVT,A -> FA,,,1
